movieId,avg_movie_rating,rating_count,rating_std
1,3.92124,49695,0.889012
2,3.21198,22243,0.95115
3,3.15104,12735,1.006642
4,2.86139,2756,1.095702
5,3.06459,12161,0.98214
6,3.83493,23899,0.880468
7,3.36648,12961,0.955883
8,3.14205,1415,0.966353
9,3.00492,3960,0.960203
10,3.43003,29005,0.859035
11,3.66771,18162,0.895807
12,2.61977,3845,1.123326
13,3.27242,1461,0.980312
14,3.43208,6022,0.940845
15,2.72199,2910,1.084532
16,3.78746,17394,0.863681
17,3.96857,20667,0.951585
18,3.37363,5203,1.02924
19,2.60741,20938,1.151479
20,2.88075,4084,0.930137
21,3.58169,24116,0.917261
22,3.3194,9928,0.921065
23,3.14824,4250,0.949553
24,3.19985,7971,1.048937
25,3.68951,21553,1.034432
26,3.62886,2755,0.92566
27,3.41352,1642,0.937641
28,4.05755,3154,0.882361
29,3.95223,8520,0.975643
30,3.63388,1281,0.977397
31,3.25034,9435,0.935127
32,3.89805,44980,0.867135
33,3.00769,65,1.058789
34,3.64309,32255,1.091497
35,3.50167,1493,0.975829
36,3.94272,20809,0.890923
37,3.01765,85,1.178798
38,2.85779,552,1.256263
39,3.41363,26254,0.977646
40,3.64673,886,0.991162
41,3.8521,4689,0.925808
42,3.05513,2467,0.942379
43,3.46846,2552,0.931022
44,2.65387,10697,1.122321
45,3.38436,8933,0.96354
46,3.27488,3205,0.971878
47,4.05349,43249,0.87028
48,2.94611,13046,1.055189
49,3.58475,236,1.059516
50,4.33437,47006,0.756783
51,2.55556,27,1.203627
52,3.54115,9320,0.916662
53,3.69667,150,1.04576
54,2.8546,956,1.081878
55,3.24121,939,0.993108
56,1.87143,70,1.184702
57,3.32452,2439,0.948185
58,3.9784,11549,0.96206
59,3.56021,191,1.124038
60,3.11445,6313,0.998023
61,3.3231,2281,0.999204
62,3.73182,19381,0.978547
63,3.06662,2334,1.188942
64,2.82982,2086,0.994249
65,2.39422,4864,1.198037
66,2.14424,2371,1.14261
67,3.35,170,1.154935
68,3.437,1238,0.946459
69,3.56063,4288,1.026956
70,3.27745,12712,1.067298
71,2.35521,1295,1.086165
72,3.50244,1230,1.041644
73,3.80677,2955,1.039775
74,3.30222,3514,1.007239
75,2.46237,558,1.189956
76,3.00902,3380,1.007
77,3.42986,221,1.022837
78,3.18067,1226,0.917286
79,3.12855,5535,0.965692
80,3.72435,575,1.069908
81,3.26737,3209,0.998377
82,4.00493,2538,0.99589
83,3.6532,594,1.003417
84,3.41772,158,1.058572
85,3.53113,2714,1.00636
86,3.4834,4308,0.924986
87,2.35963,976,1.116207
88,3.10763,4864,1.042428
89,3.13982,3247,0.882765
90,3.35748,214,1.156535
92,2.8541,2303,1.000538
93,2.52874,1966,1.053318
94,3.52692,4030,0.905203
95,3.09464,22104,0.954467
96,3.68737,483,1.055801
97,3.99643,1963,0.905999
98,2.48765,81,1.02462
99,3.10537,726,1.198383
100,3.22139,4115,0.800889
101,3.7863,4298,0.886241
102,2.42947,1992,1.051138
103,3.2692,1133,0.967171
104,3.41708,17915,1.062286
105,3.3263,9620,1.129965
106,3.44403,134,1.472378
107,3.21534,6376,1.050777
108,3.092,125,1.353585
109,2.0625,16,1.424488
110,4.04253,53769,0.955058
111,4.11058,24481,0.849071
112,3.41257,11890,0.947009
113,3.10927,1089,0.899855
114,3.61943,247,0.963198
115,3.40789,38,1.256632
116,3.9373,949,1.068843
117,3.5894,1264,0.950225
118,3.011,1136,1.053048
119,2.77273,264,1.109694
120,2.88095,147,1.112404
121,3.75329,837,0.915904
122,2.86767,3888,0.935007
123,3.96925,2309,0.960511
124,3.49843,319,1.145471
125,3.75569,3518,0.920305
126,2.31214,1376,1.192305
127,3.2561,41,1.135352
128,3.5,75,1.084286
129,3.16316,190,1.126736
130,3.11538,39,1.289949
131,3.29124,194,0.875087
132,2.7732,2123,0.983618
133,2.60526,19,1.161643
134,3.65278,36,1.367059
135,2.99802,6305,1.050345
